Date Time,BLU.Stor.Inst.0.0.Best [ac-ft]
28-Dec-2000 20:01,4596.000
28-Dec-2000 21:06,4595.000
28-Dec-2000 22:03,4592.000
28-Dec-2000 23:01,4589.000
29-Dec-2000 00:05,4588.000
29-Dec-2000 01:03,4586.000
29-Dec-2000 02:02,4585.000
29-Dec-2000 03:03,4583.000
29-Dec-2000 04:03,4581.000
29-Dec-2000 05:09,4579.000
29-Dec-2000 06:03,4578.000
29-Dec-2000 07:03,4576.000
29-Dec-2000 08:03,4574.000
29-Dec-2000 09:04,4572.000
29-Dec-2000 10:03,4569.000
29-Dec-2000 11:04,4569.000
29-Dec-2000 12:05,4571.000
29-Dec-2000 13:02,4572.000
29-Dec-2000 14:04,4575.000
29-Dec-2000 15:04,4576.000
29-Dec-2000 16:03,4579.000
29-Dec-2000 17:02,4582.000
29-Dec-2000 18:03,4583.000
29-Dec-2000 19:02,4585.000
29-Dec-2000 20:03,4586.000
29-Dec-2000 21:03,4588.000
29-Dec-2000 22:03,4589.000
29-Dec-2000 23:06,4589.000
30-Dec-2000 00:03,4590.000
30-Dec-2000 01:05,4590.000
30-Dec-2000 02:06,4590.000
30-Dec-2000 03:04,4592.000
30-Dec-2000 04:05,4592.000
30-Dec-2000 05:03,4592.000
30-Dec-2000 06:04,4592.000
30-Dec-2000 07:07,4592.000
30-Dec-2000 08:04,4592.000
30-Dec-2000 09:04,4592.000
30-Dec-2000 10:00,4592.000
30-Dec-2000 11:03,4592.000
30-Dec-2000 12:03,4589.000
30-Dec-2000 13:02,4588.000
30-Dec-2000 14:01,4585.000
30-Dec-2000 15:01,4582.000
30-Dec-2000 16:02,4581.000
30-Dec-2000 17:02,4581.000
30-Dec-2000 18:02,4581.000
30-Dec-2000 19:02,4581.000
30-Dec-2000 20:05,4579.000
30-Dec-2000 21:03,4578.000
30-Dec-2000 22:06,4578.000
30-Dec-2000 23:04,4578.000
31-Dec-2000 00:06,4575.000
31-Dec-2000 01:03,4575.000
31-Dec-2000 02:03,4575.000
31-Dec-2000 03:04,4574.000
31-Dec-2000 04:03,4574.000
31-Dec-2000 05:04,4572.000
31-Dec-2000 06:03,4571.000
31-Dec-2000 07:03,4569.000
31-Dec-2000 08:06,4569.000
31-Dec-2000 09:04,4569.000
31-Dec-2000 10:03,4569.000
31-Dec-2000 11:03,4569.000
31-Dec-2000 12:04,4569.000
31-Dec-2000 13:06,4571.000
31-Dec-2000 14:05,4574.000
31-Dec-2000 15:04,4574.000
31-Dec-2000 16:02,4575.000
31-Dec-2000 17:03,4578.000
31-Dec-2000 18:06,4578.000
31-Dec-2000 19:05,4579.000
31-Dec-2000 20:05,4581.000
31-Dec-2000 21:04,4582.000
31-Dec-2000 22:04,4583.000
31-Dec-2000 23:03,4583.000
01-Jan-2001 00:04,4585.000
01-Jan-2001 01:05,4585.000
01-Jan-2001 02:05,4586.000
01-Jan-2001 03:04,4586.000
01-Jan-2001 04:05,4586.000
01-Jan-2001 05:01,4586.000
01-Jan-2001 06:02,4586.000
01-Jan-2001 07:03,4586.000
01-Jan-2001 08:07,4586.000
01-Jan-2001 09:01,4586.000
01-Jan-2001 10:03,4586.000
01-Jan-2001 11:01,4586.000
01-Jan-2001 12:05,4585.000
01-Jan-2001 13:05,4583.000
01-Jan-2001 14:04,4582.000
01-Jan-2001 15:03,4581.000
01-Jan-2001 16:07,4581.000
01-Jan-2001 17:02,4581.000
01-Jan-2001 18:03,4582.000
01-Jan-2001 19:03,4583.000
01-Jan-2001 20:06,4585.000
01-Jan-2001 21:02,4586.000
01-Jan-2001 22:05,4586.000
01-Jan-2001 23:05,4588.000
02-Jan-2001 00:03,4588.000
02-Jan-2001 01:05,4589.000
02-Jan-2001 02:02,4590.000
02-Jan-2001 03:05,4590.000
02-Jan-2001 04:04,4590.000
02-Jan-2001 05:05,4592.000
02-Jan-2001 06:05,4592.000
